name	country	arwu	QS	THE	ARTU
Stanford University	United States	2	2	2	1
Harvard University	United States	1	3	3	2
Massachusetts Institute of Technology (MIT)	United States	4	1	5	3
University of Oxford	United Kingdom	9	5	1	4
University of Cambridge	United Kingdom	3	7	6	5
California Institute of Technology (Caltech)	United States	8	4	4	5
Princeton University	United States	6	12	9	7
University of Chicago (UChicago)	United States	10	9	10	8
Yale University	United States	11	17	8	9
Swiss Federal Institute of Technology Zurich (ETH Zurich)	Switzerland	20	6	14	10
University of California, Berkeley (UC Berkeley)	United States	5	30	7	11
University College London (UCL)	United Kingdom	16	10	16	11
Columbia University	United States	7	19	17	13
Imperial College London	United Kingdom	25	8	11	14
University of Pennsylvania (UPenn)	United States	19	16	13	15
Cornell University	United States	12	18	19	16
Johns Hopkins University (JHU)	United States	15	25	12	17
University of California, Los Angeles (UCLA)	United States	13	36	15	18
Tsinghua University	China	29	15	20	18
University of Michigan-Ann Arbor (UMich)	United States	22	21	22	20
University of Toronto (U of T)	Canada	23	25	18	21
Northwestern University	United States	30	29	24	22
University of Tokyo (UTokyo)	Japan	26	24	36	23
New York University (NYU)	United States	27	35	26	24
Duke University	United States	27	42	20	25
University of Edinburgh	United Kingdom	42	20	30	26
Peking University	China	49	23	23	27
University of California, San Diego (UCSD)	United States	18	54	33	28
University of Melbourne	Australia	35	41	31	29
King's College London (KCL)	United Kingdom	47	31	35	30
University of Manchester	United Kingdom	36	27	51	31
National University of Singapore (NUS)	Singapore	80	11	25	32
University of Washington (UW)	United States	16	72	29	33
University of British Columbia (UBC)	Canada	38	45	34	33
Kyoto University	Japan	34	38	54	35
Université Paris Sciences et Lettres (Université PSL)	France	36	52	46	36
Swiss Federal Institute of Technology Lausanne (EPFL)	Switzerland	83	14	43	37
Technical University Munich (TUM)	Germany	54	50	41	38
University of Wisconsin - Madison (UW Madison)	United States	32	65	49	39
University of Munich (LMU Munich)	Germany	51	63	32	39
McGill University	Canada	78	31	40	41
Nanyang Technological University (NTU)	Singapore	91	13	47	42
University of Texas at Austin (UT Austin)	United States	41	71	44	43
Australian National University (ANU)	Australia	67	31	59	44
University of Queensland (UQ)	Australia	54	46	62	45
Heidelberg University	Germany	57	64	42	46
University of Sydney	Australia	74	40	51	47
Carnegie Mellon University (CMU)	United States	95	51	28	48
University of Illinois at Urbana-Champaign (UIUC)	United States	45	82	48	49
Washington University in St. Louis (WUSTL)	United States	23	105	50	50
University of North Carolina at Chapel Hill (UNC-Chapel Hill)	United States	30	95	56	51
UNSW Sydney	Australia	74	44	67	52
University of Copenhagen (UCPH)	Denmark	33	76	84	53
University of Zurich (UZH)	Switzerland	56	69	73	54
Monash University	Australia	85	55	64	55
Seoul National University (SNU)	South Korea	107	37	60	55
Fudan University	China	100	34	70	55
Zhejiang University (ZJU)	China	58	53	94	58
Sorbonne University	France	39	83	87	59
Shanghai Jiao Tong University (SJTU)	China	63	47	100	60
University of Bristol	United Kingdom	64	58	91	61
University of Hong Kong (HKU)	Hong Kong, China	156	22	39	62
Brown University	United States	102	60	61	63
Katholieke Universiteit Leuven (KU Leuven)	Belgium	97	84	45	64
University of Southern California (USC)	United States	61	121	53	65
Georgia Institute of Technology (Georgia Tech)	United States	129	80	38	66
Utrecht University	Netherlands	52	121	75	67
Chinese University of Hong Kong (CUHK)	Hong Kong, China	149	43	56	67
London School of Economics and Political Science (LSE)	United Kingdom	173	49	27	69
University of Amsterdam (UvA)	Netherlands	125	61	66	70
University of Science and Technology of China (USTC)	China	73	93	87	71
Boston University (BU)	United States	90	110	54	72
University of Warwick	United Kingdom	118	62	77	73
University of California, Davis (UC Davis)	United States	91	112	64	74
University of California, Santa Barbara (UCSB)	United States	49	152	68	75
University of Helsinki	Finland	74	104	98	76
University of Groningen	Netherlands	69	128	80	77
Leiden University	Netherlands	80	128	70	78
Purdue University - West Lafayette	United States	79	109	94	79
University of Maryland, College Park (UMD)	United States	53	152	90	80
Ohio State University - Columbus (OSU)	United States	111	108	80	81
University of Oslo (UiO)	Norway	60	113	127	82
University of Minnesota (UMN)	United States	40	177	85	83
Ghent University (UGent)	Belgium	66	135	103	84
McMaster University	Canada	98	144	69	85
Uppsala University	Sweden	77	124	111	86
University of Geneva (UNIGE)	Switzerland	59	106	149	87
University of Western Australia (UWA)	Australia	85	92	139	88
Aarhus University	Denmark	69	147	106	89
Rice University	United States	110	89	124	90
