Rank	University	Score	Country
1	Harvard University	100	USA
2	California Institute of Technology (Caltech)	99.636	USA
3	Stanford University	97.05	USA
4	Imperial College London	96.742	UK
5	Karolinska Institute	96.609	Sweden
6	Massachusetts Institute of Technology (MIT)	96.37	USA
7	University of Oxford	96.167	UK
8	ETH Zurich (Swiss Federal Institute of Technology)	94.629	Switzerland
9	University of Cambridge	94.383	UK
10	Columbia University	94.132	USA
11	University College London	93.911	UK
12	Yale University	93.797	USA
13	University of Pennsylvania	93.741	USA
14	Johns Hopkins University	93.617	USA
15	Northwestern University	93.558	USA
16	Princeton University	93.517	USA
17	Ecole Polytechnique Federale de Lausanne	92.159	Switzerland
18	Case Western Reserve University	91.555	USA
19	Cornell University	91.528	USA
20	Washington University in St. Louis	90.996	USA
21	Peking University	90.954	China
22	Korea Advanced Institute of Science and Technology (KAIST)	90.813	Republic of Korea
23	Scuola Normale Superiore di Pisa	89.546	Italy
24	Carnegie Mellon University	89.279	USA
25	University of Michigan	88.822	USA
26	University of Edinburgh	88.284	UK
27	Tsinghua University	87.746	China
28	King`s College London	87.742	UK
29	Brown University	87.703	USA
30	Emory University	87.635	USA
31	Boston University	87.59	USA
32	Technical University of Denmark	87.419	Denmark
33	University of California, Los Angeles	87.212	USA
34	Nanyang Technological University	87.004	Singapore
35	Pohang University of Science and Technology (POSTECH)	86.997	Republic of Korea
36	New York University	86.727	USA
37	McGill University	86.651	Canada
39	Rice University	86.466	USA
39	Tufts University	86.466	USA
40	Royal Institute of Technology (KTH)	86.196	Sweden
41	University of Tokyo	86.051	Japan
42	University of Bern	85.992	Switzerland
43	Sorbonne University	85.896	France
44	University of Wisconsin - Madison	85.887	USA
45	University of Geneva	85.726	Switzerland
46	University of Hong Kong	85.692	Hong Kong
47	University of Pittsburgh	85.55	USA
48	University of Science and Technology of China	85.514	China
49	Chalmers University of Technology	85.261	Sweden
50	Kyoto University	85.222	Japan
51	Australian National University	85.066	Australia
52	University of Washington	84.923	USA
53	University of Zurich	84.764	Switzerland
54	University of Lausanne	84.706	Switzerland
55	Ludwig Maximilian University of Munich	84.692	Germany
56	University of Manchester	84.621	UK
57	Vanderbilt University	84.555	USA
58	University of California, Berkeley	84.515	USA
59	Fudan University	84.455	China
60	Chinese University Hong Kong	84.299	Hong Kong
61	Indian Institute of Science	84.104	India
62	University of California, San Diego	84.089	USA
63	University of Toronto	84.08	Canada
64	Wageningen University & Research Center	83.936	Netherlands
65	University of Southern California	83.816	USA
66	Ruprecht Karl University of Heidelberg	83.724	Germany
67	Technische Universitat Dresden (TU Dresden)	83.467	Germany
68	University of North Carolina	83.412	USA
69	Zhejiang University	83.386	China
70	Shanghai Jiao Tong University	83.203	China
71	University of Sydney	82.855	Australia
72	Georgia Institute of Technology	82.816	USA
73	University of Minnesota	82.691	USA
74	National University of Singapore	82.43	Singapore
75	Utrecht University	82.41	Netherlands
76	Tohoku University	82.305	Japan
77	Lund University	82.226	Sweden
78	University of Twente	81.954	Netherlands
79	University of Rochester	81.935	USA
